date,startTime,endTime,title,venue,room,address,city,ageRange,types,cost,tips,audiences,eventUrl,alreadyOnPuddles,source,description
2026-08-31,16:00,16:45,Bob Baker Marionette Theater Variety Show,Pioneer Park,,"1146 Church St, Mountain View, CA 94041",Mountain View,"0–2, 2–5",Music & Movement,Free,"Registration is recommended.
Walk-ins are also welcome.",Adults; Teens; Seniors; Babies; Preschoolers; All Ages; Tweens; Children; Families; Toddlers,https://mountainview.libcal.com/event/17225192,yes,Mountain View Library · LibCal,"Bob Baker Marionette Theater is bringing the puppet magic to the Mountain View Public Library. This variety show will be roughly 30 minutes long and feature between 12 and 25 puppets from their iconic collection! After the show, there will be a quick 15 minute Q&A. This magical show will take place in Pioneer Park. Feel free to bring a fold-out chair, towel, or blanket for your comfort out in the park. This type of fun has no age limit! This event is generously sponsored by the Friends of the Mountain View Library."
2026-08-31,18:00,19:00,Smart Start Babytime,Mountain View Library,1st Floor Program Room,"585 Franklin St, Mountain View, CA 94041",Mountain View,0–2,Stories,Free,"Smart Start Babytime is a special program for babies (0–2) and their caregivers that blends stories, songs, and early play with different information each week with a pediatric resident from Stanford Medical School.
Caregivers will gain practical tips, build confidence, and have the opportunity to ask questions—all in a warm, supportive environment designed for your baby’s earliest learning.",Preschoolers; Parents; Families; Toddlers,https://mountainview.libcal.com/event/16916947,yes,Mountain View Library · LibCal,"Smart Start Babytime is a special program for babies (0–2) and their caregivers that blends stories, songs, and early play with different information each week with a pediatric resident from Stanford Medical School. Caregivers will gain practical tips, build confidence, and have the opportunity to ask questions—all in a warm, supportive environment designed for your baby’s earliest learning."
2026-09-01,10:30,11:00,Outdoor Storytime,Pioneer Park,,"1146 Church St, Mountain View, CA 94041",Mountain View,"0–2, 2–5",Stories,Free,"Bring a blanket and enjoy stories, songs, and rhymes with children's librarians in Pioneer Park.
All ages welcome, no registration required.
All events are weather permitting.",Babies; Preschoolers; Children; Families,https://mountainview.libcal.com/event/17142481,yes,Mountain View Library · LibCal,Tuesdays at 10:30 a.m.
2026-09-02,10:30,11:15,Baby Storytime,Mountain View Library,1st Floor Program Room,"585 Franklin St, Mountain View, CA 94041",Mountain View,0–2,Stories,Free,,Babies; Children; Families,https://mountainview.libcal.com/event/17170809,yes,Mountain View Library · LibCal,"A musical storytime for infants, babies, and new toddlers with books, baby bounces, and dancing! After storytime, we will host a brief Stay & Play for grownups to connect and mingle. This program is designed for ages 0-18 months.

 Assisted Listening Devices available upon request."
2026-09-03,10:00,11:00,Cuesta Park Storytime,Mountain View Library,,"585 Franklin St, Mountain View, CA 94041",Mountain View,2–5,Stories,Free,Events are weather permitting.,Preschoolers; Children; Families,https://mountainview.libcal.com/event/17295774,no,Mountain View Library · LibCal,"Stop by the Bookmobile for stories, songs, and rhymes in the heart of Cuesta Park! Enjoy a fun-filled storytime at the playground, and take advantage of full library services available from 10:00–11:00 a.m. Find us at 615 Cuesta Drive, Mountain View, CA 94040"
2026-09-04,10:30,11:15,Baby Storytime: Rerun,Mountain View Library,1st Floor Program Room,"585 Franklin St, Mountain View, CA 94041",Mountain View,0–2,Stories,Free,,Babies; Children; Families,https://mountainview.libcal.com/event/17170825,yes,Mountain View Library · LibCal,"Did you miss Wednesday's Baby Storytime? Come on Friday! We'll redo our musical storytime for infants, babies, and new toddlers with a brief Stay & Play for grownups to connect and mingle. This program is designed for ages 0-18 months.

 Assisted Listening Devices available upon request."
2026-09-08,10:30,11:00,Outdoor Storytime,Pioneer Park,,"1146 Church St, Mountain View, CA 94041",Mountain View,"0–2, 2–5",Stories,Free,"Bring a blanket and enjoy stories, songs, and rhymes with children's librarians in Pioneer Park.
All ages welcome, no registration required.
All events are weather permitting.",Babies; Preschoolers; Children; Families,https://mountainview.libcal.com/event/17142482,yes,Mountain View Library · LibCal,Tuesdays at 10:30 a.m.
2026-09-09,10:30,11:15,Baby Storytime,Mountain View Library,1st Floor Program Room,"585 Franklin St, Mountain View, CA 94041",Mountain View,0–2,Stories,Free,,Babies; Children; Families,https://mountainview.libcal.com/event/17170810,yes,Mountain View Library · LibCal,"A musical storytime for infants, babies, and new toddlers with books, baby bounces, and dancing! After storytime, we will host a brief Stay & Play for grownups to connect and mingle. This program is designed for ages 0-18 months.

 Assisted Listening Devices available upon request."
2026-09-09,18:30,19:00,Bilingual Storytime: Mandarin/English,Mountain View Library,Children's Room,"585 Franklin St, Mountain View, CA 94041",Mountain View,2–5,Stories,Free,"For ages 2-5, no registration required.",Preschoolers; Children,https://mountainview.libcal.com/event/17329104,no,Mountain View Library · LibCal,"Stories, rhymes and songs in Mandarin and English with Miss Renee in the Children's Room Octagon."
2026-09-10,10:00,10:30,Magical Bridge Storytime,Magical Bridge Playground at Rengstorff Park,,"201 S. Rengstorff Ave, Mountain View, CA 94040",Mountain View,2–5,Stories,Free,Events are weather permitting.,Preschoolers; Children; Families,https://mountainview.libcal.com/event/17290230,no,Mountain View Library · LibCal,"Stop by the Bookmobile for stories, songs, and rhymes in the heart of Rengstorff Park! Enjoy a fun-filled storytime at the Magical Bridge Playground, and take advantage of full library services available from 10:00–11:00 a.m. Find us at 201 S. Rengstorff Ave, Mountain View, CA 94040."
